No,KOAjobID,plate,mjd,fiberid,z,flag,extracted,use
1,20211,5434,56033,856,2.08528,no_lyaf,True,False
18,1278,5123,55841,254,2.06707,,True,True
21,8918,6479,56364,418,2.2013,FluxNotCor,True,True
23,11116,5398,56011,574,2.26856,,True,False
45,19680,5365,55945,396,2.40354,,True,False
48,20308,5154,55864,84,2.4069599999999998,,True,True
52,21387,7110,56746,476,2.30706,,True,False
54,22449,4296,55499,462,3.40044,,True,check
56,23057,5187,56074,702,2.34145,,True,False
57,23874,4306,55584,74,2.2909599999999997,AddSmooth,True,False
61,27161,5200,56091,660,2.48068,AddSmooth,True,check
63,28841,4766,55677,872,2.55997,,True,False
67,30535,4784,55677,800,2.45427,,True,False
68,31391,4723,56033,245,2.54897,,True,check
70,2410,7113,56711,48,2.51119,,True,check
74,4130,6974,56442,371,2.58188,FluxNotCor,True,False
82,8314,4660,56191,232,2.29534,LyaObs?,True,False
85,13740,6675,56415,390,2.70076,,True,check
86,16127,6711,56388,494,2.62756,,True,False
88,20277,4446,55589,374,2.53767,LyaObs?,True,False
93,31190,6620,56368,766,2.6249599999999997,,True,check
94,553,3758,55506,325,2.63761,LyaObs?,True,check
102,27101,4895,55708,718,2.8639,,True,check
104,20666,5138,55830,20,2.87229,,True,False
105,21933,6805,56442,110,2.8989700000000003,,True,check
110,27965,4697,55660,912,2.7997900000000002,no_lyaf,True,False
112,32629,4576,55592,870,2.88365,,True,False
126,6241,3873,55277,744,2.9465,,True,check
128,6932,6006,56105,642,2.96287,,True,check
138,12710,6805,56442,352,3.03892,,True,False
143,17387,4564,55570,112,3.1166,,True,True
146,21263,7123,56726,638,3.09888,,True,check
149,22839,4978,56036,970,3.0991,,True,False
151,24398,5394,56001,596,3.0836,,True,check
155,28334,3674,55182,272,3.10983,,True,True
157,30459,5336,55957,900,3.1531,,True,check
158,32223,6455,56370,222,3.12022,,True,False
161,2425,1867,53317,618,3.21417,AddSmooth,True,True
162,4508,4604,55983,922,3.2960800000000003,,True,check
164,8842,4797,55662,80,3.27203,,True,True
167,14335,4689,55656,200,3.3113699999999997,no_lyaf,True,False
169,21001,7031,56449,663,3.24085,,True,check
173,22639,5733,56575,260,3.3367199999999997,,True,check
185,27971,5803,56272,164,3.3269900000000003,,True,False
186,29524,6675,56415,294,3.4912300000000003,,True,check
187,2258,6695,56628,444,3.4658,LyaFlat,True,False
197,8741,3695,55212,388,3.4956099999999997,no_lya,True,False
200,10588,4847,55931,302,3.4641900000000003,,True,False
201,29561,5388,55983,748,3.4838699999999996,,True,True
203,32118,3683,55178,484,3.5941400000000003,,True,check
205,480,6726,56394,698,3.63961,,True,check
212,1956,5455,56009,386,3.5464,,True,False
214,2670,5195,56048,240,3.5375300000000003,,True,False
217,3105,4046,55605,626,3.50735,,True,check
224,4141,6035,56076,900,3.74197,,True,False
247,6490,4527,55590,1,3.76266,,True,False
283,7260,4266,55486,708,4.1846,,True,check
284,8106,4452,55536,214,4.1624300000000005,,True,False
285,8944,5793,56337,290,4.17623,no_lyaf,True,False
287,10408,4274,55508,475,4.17269,,True,check
290,11329,6720,56390,774,4.14879,,True,False
306,12850,6445,56366,700,4.1936599999999995,,True,True
307,13938,4068,55445,726,4.38178,,True,False
341,16474,4178,55653,608,4.69771,,True,False
351,17731,6407,56311,964,4.598990000000001,no_lyaf,True,False
366,18802,5357,55956,217,4.74106,no_lyaf,True,False
373,19407,6641,56383,510,4.7502699999999995,no_lyaf,True,False
381,20393,6178,56213,281,4.96443,no_lyaf,False,False
