elqs_No,sdss_No,RA,DEC,z,M1450,elqs_KOAjobID,sdss_KOAjobID,KOAjobID,catalog,use,SDSS,norm_factor,Name
,18.0,27.4351386,15.0185468,2.07,,,1278.0,1278.0,sdss,True,,,
,22.0,166.5446493,64.00278560000001,2.205111027,,,12860.0,12860.0,sdss,True,,,
,21.0,187.1040394,31.477127199999998,2.22,,,8918.0,8918.0,sdss,True,,,
,24.0,320.8727851000001,-0.8480365,2.274,,,14608.0,14608.0,sdss,check,,,
,48.0,133.5734071,53.459789799999996,2.415,,,20308.0,20308.0,sdss,True,,,
,70.0,176.27052369999996,62.773468099999995,2.532,,,2410.0,2410.0,sdss,check,,,
,72.0,246.4533219,26.782992999999998,2.535,,,19710.0,19710.0,sdss,check,,,
,61.0,241.23082119999998,38.2004543,2.54,,,27161.0,27161.0,sdss,check,,,
,68.0,233.24270499999997,30.9851657,2.58,,,31391.0,31391.0,sdss,check,,,
,93.0,198.20305009999998,42.8768847,2.625669956,,,31190.0,31190.0,sdss,check,,,
,81.0,152.9816564,29.6948857,2.64,,,21922.0,21922.0,sdss,check,,,
,85.0,184.8782149,49.6811765,2.700899363,,,13740.0,13740.0,sdss,check,,,
,94.0,123.1695347,32.135719300000005,2.7030000000000003,,,553.0,553.0,sdss,check,,,
,83.0,26.319158299999998,-9.754818199999999,2.7250308989999996,,,26688.0,26688.0,sdss,check,,,
,101.0,237.9686,19.1844606,2.85,,,44870.0,44870.0,sdss,True,,,
73.0,,32.4613014802,-0.0851358584374,2.85,-28.171999,52208.0,,52208.0,elqs,check,,,
13.0,102.0,242.18292661099997,7.25239986955,2.881,-28.88454,16551.0,27101.0,16551.0,elqs,check,,,
56.0,105.0,207.68611566599998,57.2785983631,2.899,-28.266961,59532.0,21933.0,59532.0,elqs,check,,,
98.0,126.0,218.317166632,31.523984098499998,2.948,-28.047603,61433.0,6241.0,61433.0,elqs,check,,,
131.0,128.0,207.0490364,28.3005102702,2.974,-27.936041,70272.0,6932.0,70272.0,elqs,check,,,
185.0,132.0,219.80143179799998,29.913354012800003,2.991,-27.759281,81993.0,78936.0,81993.0,elqs,True,,,
335.0,,198.960083759,46.593700538,3.003,-27.459005,99658.0,,99658.0,elqs,True,,,
169.0,,258.11562654200003,57.9186003628,3.0081,-27.820917,78831.0,,78831.0,elqs,check,,,
101.0,129.0,338.537475307,0.000469774950035,3.025,-28.026113,62332.0,76656.0,62332.0,elqs,True,,,
6.0,,296.228556,77.097965,3.051,-29.18,89604.0,,89604.0,elqs,True,,,
64.0,146.0,211.94680506400002,64.9055341516,3.099,-28.220263,64295.0,21263.0,64295.0,elqs,check,spec-7123-56726-0638.fits,,
9.0,142.0,153.696592332,43.0083819233,3.1,-28.958687,2315.0,84469.0,2315.0,elqs,True,spec-4561-55614-0856.fits,0.39,HS 1011+4315
137.0,151.0,182.32472773900002,11.641761889100001,3.103,-27.910771,3688.0,24398.0,3688.0,elqs,check,spec-5394-56001-0596.fits,,
17.0,143.0,156.811572371,35.721503503200005,3.104,-28.710956,20463.0,17387.0,20463.0,elqs,True,spec-4564-55570-0112.fits,0.375,HS 1024+3558
,155.0,117.3662982,41.878425899999996,3.109782219,,,28334.0,28334.0,sdss,True,spec-3674-55182-0272.fits,1.36,
37.0,145.0,175.786998643,34.872857700000004,3.155,-28.382542,39852.0,87112.0,39852.0,elqs,True,spec-4646-55622-0358.fits,0.379,
175.0,157.0,155.041639816,10.667426430299999,3.159,-27.802732,34151.0,30459.0,34151.0,elqs,check,,,
86.0,,19.3473778518,-8.69229871044,3.1630000000000003,-28.094906,30322.0,,30322.0,elqs,check,,,
358.0,,357.235360845,-10.691994640299999,3.175,-27.372624,39886.0,,39886.0,elqs,check,,,
19.0,163.0,120.32414814100001,52.176265451300004,3.209,-28.66658300000001,28424.0,94486.0,28424.0,elqs,True,spec-3682-55244-0194.fits,0.3670000000000001,
,161.0,116.3407864,47.5767232,3.22,,,2425.0,2425.0,sdss,True,spec-1867-53317-0618.fits,0.447,
103.0,,45.9210409339,-0.389417043046,3.2267,-28.022568,19652.0,,19652.0,elqs,check,,,
,165.0,180.43486230000002,1.26990389,3.233,,,10921.0,10921.0,sdss,check,,,
124.0,169.0,216.430523041,54.1053740556,3.247,-27.945927,24056.0,21001.0,24056.0,elqs,check,,,
52.0,164.0,145.508517687,4.3790401708800015,3.274,-28.289273,54447.0,8842.0,54447.0,elqs,True,spec-4797-55662-0080.fits,0.12,SDSS J094202.04+042244.5
,162.0,135.1396209,42.2630579,3.293,,,4508.0,4508.0,sdss,check,,,
102.0,,46.20774186550001,-0.137097013358,3.2951,-28.025863,63157.0,,63157.0,elqs,check,,,
108.0,166.0,149.717484803,12.0458451815,3.298,-28.007206,66153.0,97026.0,66153.0,elqs,check,,,
,173.0,138.79173319999998,47.9496693,3.3360998630000003,,,22639.0,22639.0,sdss,check,,,
1.0,,4.28541667,81.58555556,3.366,-29.65,104297.0,,104297.0,elqs,True,,3.59,S5 0014+81
168.0,190.0,44.7734780563,0.189427928962,3.373,-27.831341,73983.0,101969.0,73983.0,elqs,check,,,
78.0,54.0,359.5355914,1.41866792527,3.395,-28.140381,56218.0,22449.0,56218.0,elqs,check,,,
31.0,,263.46764338,54.00846015689999,3.4248,-28.498633,36576.0,,36576.0,elqs,True,spec-0362-51999-0225.fits,,SDSS J173352.23+540030.4
218.0,,143.405343261,28.7589980247,3.431,-27.696648,86000.0,,86000.0,elqs,True,,,
122.0,,345.75605136800004,-9.658533361729999,3.455,-27.948711,127622.0,,127622.0,elqs,check,spec-0725-52258-0182.fits,,
,186.0,185.92982460000002,50.631519899999994,3.4911410810000003,,,29524.0,29524.0,sdss,check,spec-6675-56415-0294.fits,0.43,GB1 1221+509
171.0,193.0,356.60695515599997,-0.26678479141999994,3.499,-27.812652000000003,129419.0,82139.0,129419.0,elqs,check,spec-9209-57686-0922.fits,,
54.0,201.0,180.44961276700002,12.108417140899999,3.504,-28.276756,57261.0,29561.0,57261.0,elqs,True,spec-5388-55983-0748.fits,0.3,
,217.0,203.2271466,0.88073168,3.507107258,,,3105.0,3105.0,sdss,check,spec-4046-55605-0626.fits,,Q 1330+0108
287.0,,212.94866609599998,14.3649805173,3.5460000000000003,-27.570101,4108.0,,4108.0,elqs,check,spec-5455-56009-0386.fits,,
,203.0,118.2639027,42.5252298,3.5941438669999997,,,32118.0,32118.0,sdss,check,spec-3683-55178-0484.fits,,S4 0749+42
3.0,,216.15878449299998,22.9335307154,3.62,-30.31231,119681.0,,119681.0,elqs,True,,1.85,B1422+231
100.0,205.0,223.537318644,51.245491315100004,3.64,-28.038028000000004,125810.0,480.0,125810.0,elqs,check,spec-6726-56394-0698.fits,0.6,SDSS J145408.95+511443.7
,227.0,196.2190749,2.65692661,3.6430000000000002,,,87214.0,87214.0,sdss,check,spec-4005-55325-0882.fits,,
,228.0,225.87035690000002,4.33028259,3.663614035,,,90264.0,90264.0,sdss,check,,,
,287.0,23.41798641,4.0166034,4.172,,,10408.0,10408.0,sdss,check,spec-9437-58130-0847.fits,0.15,PSS J0133+0400
,283.0,32.43591485,5.28712822,4.184233665,,,7260.0,7260.0,sdss,check,spec-4266-55486-0708.fits,,PSS J0209+0517
,306.0,162.84360680000003,31.130362800000004,4.26,,,12850.0,12850.0,sdss,check,spec-6445-56366-0700.fits,0.5,SDSS J105122.46+310749.3
43.0,,339.973611179,-5.87226473278,4.55,-28.360281,43254.0,,43254.0,elqs,check,,,
11.0,,141.651398575,30.918069333800002,4.19,-28.910441,9075.0,,9075.0,elqs,False,spec-5808-56325-0064.fits,,PSS J0926+3055
